readingDtUtz,valuePsi,celsius,fahrenheit
2021-12-10 11:12:57,1648,3.14,37.652
2021-12-10 11:13:21,184,3.14,37.652
2021-12-10 11:13:59,1648,3.14,37.652
2021-12-10 11:14:12,184,3.14,37.652
2021-12-10 11:14:35,1656,3.14,37.652
2021-12-10 11:14:46,176,3.14,37.652
2021-12-10 11:24:08,1648,3.14,37.652
2021-12-10 11:24:36,184,3.14,37.652
2021-12-10 11:26:34,1656,3.14,37.652
2021-12-10 17:37:41,1648,4.76,40.568
2021-12-11 10:26:15,184,-1.61,29.102
2021-12-13 07:13:46,1632,-2.41,27.662
2021-12-13 07:16:10,1648,-2.41,27.662
2021-12-13 07:16:42,1648,-2.41,27.662
2021-12-13 07:17:36,1648,-2.41,27.662
2021-12-13 07:19:50,1648,-2.41,27.662
2021-12-13 07:20:22,1648,-2.41,27.662
2021-12-13 07:20:53,1648,-2.41,27.662
2021-12-13 07:21:30,1648,-2.41,27.662
2021-12-13 07:24:18,1648,-2.41,27.662
2021-12-13 07:24:50,1648,-2.41,27.662
2021-12-13 07:26:56,1648,-2.41,27.662
2021-12-13 07:27:27,1648,-2.41,27.662
2021-12-13 07:28:47,1640,-2.41,27.662
2021-12-13 07:29:18,1648,-2.41,27.662
2021-12-13 07:30:18,1640,-2.41,27.662
2021-12-13 07:30:48,1640,-2.41,27.662
2021-12-13 07:32:03,1640,-2.41,27.662
2021-12-13 07:32:34,1640,-2.41,27.662
2021-12-13 07:36:32,1648,-2.41,27.662
2021-12-13 07:37:04,1648,-2.41,27.662
2021-12-13 07:39:57,1648,-2.41,27.662
2021-12-13 07:42:11,1640,-2.41,27.662
2021-12-13 07:43:27,1648,-2.41,27.662
2021-12-13 07:43:50,1640,-2.41,27.662
2021-12-13 07:46:05,1648,-2.41,27.662
2021-12-13 07:46:28,1640,-2.41,27.662
2021-12-13 09:30:20,1648,-2.41,27.662
2021-12-13 14:24:34,1664,4.91,40.838
2021-12-13 14:24:54,1648,4.91,40.838
2021-12-14 06:46:01,1648,0.7,33.26
2021-12-14 06:49:56,1648,0.7,33.26
2021-12-14 06:50:40,1656,0.7,33.26
2021-12-14 06:51:35,1656,0.7,33.26
2021-12-14 06:51:59,1656,0.7,33.26
2021-12-14 06:54:35,1656,0.7,33.26
2021-12-14 06:55:38,1656,0.7,33.26
2021-12-14 06:56:09,1656,0.7,33.26
2021-12-14 06:56:33,1648,0.7,33.26
2021-12-14 07:01:55,1648,-0.8200000000000001,30.524
2021-12-14 07:02:37,1656,-0.8200000000000001,30.524
2021-12-14 07:03:08,1648,-0.8200000000000001,30.524
2021-12-14 07:03:39,1648,-0.8200000000000001,30.524
2021-12-14 07:04:05,1648,-0.8200000000000001,30.524
2021-12-14 07:06:08,1648,-0.8200000000000001,30.524
2021-12-14 07:07:13,1648,-0.8200000000000001,30.524
2021-12-14 07:07:45,1648,-0.8200000000000001,30.524
2021-12-14 07:08:45,1648,-0.8200000000000001,30.524
2021-12-14 07:09:17,1640,-0.8200000000000001,30.524
2021-12-14 07:10:36,1648,-0.8200000000000001,30.524
2021-12-14 07:11:07,1648,-0.8200000000000001,30.524
2021-12-14 07:12:20,1640,-0.8200000000000001,30.524
2021-12-14 07:12:51,1640,-0.8200000000000001,30.524
2021-12-14 07:59:22,1656,-0.8200000000000001,30.524
2021-12-14 07:59:52,1648,-0.8200000000000001,30.524
2021-12-14 08:01:48,1648,-0.8200000000000001,30.524
2021-12-14 08:02:19,1640,-0.8200000000000001,30.524
2021-12-14 08:03:52,1640,-0.8200000000000001,30.524
2021-12-14 08:04:23,1640,-0.8200000000000001,30.524
2021-12-14 08:06:01,1640,-0.8200000000000001,30.524
2021-12-14 08:06:32,1640,-0.8200000000000001,30.524
2021-12-14 09:42:07,1648,-0.8200000000000001,30.524
2021-12-15 06:44:17,1648,10.13,50.234
2021-12-15 06:44:49,1648,10.13,50.234
2021-12-15 06:46:09,1648,10.13,50.234
2021-12-15 06:46:41,1640,10.13,50.234
2021-12-15 06:48:44,1640,10.13,50.234
2021-12-15 06:49:16,1640,10.13,50.234
2021-12-15 06:51:15,1640,10.13,50.234
2021-12-15 06:51:46,1640,10.13,50.234
2021-12-15 08:09:32,1640,12.81,55.058
2021-12-15 08:10:03,1640,12.81,55.058
2021-12-16 06:31:50,1640,17.97,64.346
2021-12-16 06:32:21,1648,17.97,64.346
2021-12-16 06:33:53,1648,17.97,64.346
2021-12-16 06:35:10,1640,17.97,64.346
2021-12-16 06:38:20,1648,17.97,64.346
2021-12-16 09:37:02,1648,2.46,36.428
2021-12-16 09:37:34,1648,2.46,36.428
2021-12-16 10:11:02,1648,2.46,36.428
2021-12-16 10:11:33,1648,2.46,36.428
2021-12-16 10:22:04,1648,2.46,36.428
2021-12-16 10:22:35,1648,2.46,36.428
2021-12-16 11:17:47,1640,2.46,36.428
2021-12-16 11:18:18,1640,2.46,36.428
2021-12-16 12:34:52,1640,2.46,36.428
2021-12-16 12:35:22,1632,2.46,36.428
2021-12-17 06:32:45,1640,-3.99,24.818
2021-12-17 06:33:16,1640,-3.99,24.818
2021-12-17 08:37:53,1640,-5.02,22.964
2021-12-17 08:38:24,1640,-5.02,22.964
2021-12-17 08:41:45,1640,-5.02,22.964
2021-12-17 08:42:16,1640,-5.02,22.964
2022-02-07 10:06:05,1216,-4.32,24.224
2022-02-07 10:07:24,1232,-4.32,24.224
2022-02-07 10:08:44,1184,-4.32,24.224
2022-02-07 10:10:06,1080,-4.32,24.224
2022-02-07 10:12:18,992,-4.32,24.224
2022-02-07 10:16:02,960,-4.32,24.224
2022-02-07 10:18:51,896,-4.32,24.224
2022-02-07 10:23:31,1144,-4.32,24.224
2022-02-07 10:27:04,1144,-4.32,24.224
2022-02-07 10:29:52,1096,-4.32,24.224
2022-02-07 10:32:15,1008,-4.32,24.224
2022-02-07 10:35:10,816,-4.32,24.224
2022-02-08 09:39:06,976,-0.53,31.046
2022-02-08 09:50:38,984,-0.53,31.046
2022-02-09 13:06:25,1112,4.61,40.298
2022-02-09 13:08:18,1104,4.61,40.298
2022-02-09 13:29:51,1144,4.61,40.298
2022-02-09 13:55:33,1168,4.61,40.298
2022-02-10 06:52:15,1216,0.07,32.126
2022-02-10 09:19:35,1224,3.05,37.49
2022-02-11 06:29:48,1232,1.31,34.358
2022-02-11 10:46:05,1208,1.76,35.168
2022-02-12 10:31:36,616,5.46,41.828
2022-02-12 10:41:52,192,5.46,41.828
2022-02-14 10:06:41,848,-10.68,12.776
2022-02-14 10:08:01,608,-10.68,12.776
2022-02-14 10:09:35,648,-10.68,12.776
2022-02-14 10:12:01,696,-10.68,12.776
2022-02-14 10:27:45,568,-10.68,12.776
2022-02-14 10:51:02,640,-10.68,12.776
2022-02-22 11:46:33,704,2.27,36.086
2022-02-22 11:48:37,656,2.27,36.086
2022-02-22 11:49:52,616,2.27,36.086
2022-02-22 11:51:03,576,2.27,36.086
2022-02-22 11:56:04,592,2.27,36.086
2022-02-22 11:57:27,544,2.27,36.086
2022-02-22 13:51:27,608,6.3,43.34
2022-02-22 13:56:44,568,6.3,43.34
2022-02-23 07:00:12,568,14.01,57.218
2022-02-23 07:07:46,544,14.01,57.218
2022-02-23 07:18:45,528,14.01,57.218
2022-03-10 11:01:32,792,-3.38,25.916
2022-03-10 11:02:37,760,-3.38,25.916
2022-03-10 11:03:42,728,-3.38,25.916
2022-03-10 11:04:56,680,-3.38,25.916
2022-03-11 09:18:24,848,3.02,37.436
2022-03-11 09:22:46,816,3.02,37.436
2022-03-11 12:42:48,752,3.02,37.436
2022-03-11 13:52:19,712,7.7,45.86
2022-03-11 13:54:39,680,7.7,45.86
2022-03-12 10:48:01,896,6.83,44.294
2022-03-14 06:36:11,1056,-0.95,30.29
2022-03-14 06:41:20,1096,-0.95,30.29
2022-03-14 10:17:09,1144,0.32,32.576
2022-03-14 10:20:31,1088,0.32,32.576
2022-03-15 07:02:30,1008,4.41,39.938
2022-03-15 08:25:20,984,7.44,45.392
2022-03-15 13:32:03,1032,7.44,45.392
2022-03-16 06:59:28,1152,4.72,40.496
2022-03-17 06:40:35,1216,5.64,42.152
2022-03-18 09:04:06,1144,10.92,51.656
2022-03-18 09:08:59,1128,10.92,51.656
2022-03-18 12:27:47,1152,10.92,51.656
2022-03-21 06:25:12,1208,4.62,40.316
2022-03-21 06:29:22,1248,4.62,40.316
2022-03-21 15:45:18,1312,13.15,55.67
2022-03-21 15:48:44,1352,13.15,55.67
2022-03-23 06:34:14,504,0.38,32.684
2022-03-24 13:17:39,704,0.77,33.386
2022-03-24 14:43:11,864,4.82,40.676
2022-03-25 07:56:04,712,1.81,35.258
2022-03-25 09:28:22,696,3.07,37.526
2022-03-25 15:22:06,616,13.49,56.282
2022-03-26 10:50:01,640,9.03,48.254
2022-03-28 12:39:10,928,-10.03,13.946000000000002
2022-03-28 14:50:51,888,-5.42,22.244
2022-03-29 09:39:09,1120,-10.48,13.136
2022-03-30 06:26:38,1000,-3.98,24.836
2022-03-30 06:29:50,968,-3.98,24.836
2022-03-30 13:37:38,1120,-5.11,22.802
2022-03-31 06:52:47,1008,3.13,37.634
2022-03-31 15:48:22,928,18.03,64.45400000000001
2022-04-01 07:24:07,952,14.92,58.856
2022-04-01 07:24:07,952,14.92,58.856
2022-04-01 10:02:51,952,15.2,59.36
2022-04-01 10:02:51,952,15.2,59.36
2022-04-01 14:32:04,944,14.37,57.866
2022-04-01 14:32:04,944,14.37,57.866
2022-04-01 15:24:19,856,14.37,57.866
2022-04-01 15:24:19,856,14.37,57.866
2022-04-04 06:48:33,1072,1.18,34.124
2022-04-04 06:55:24,1056,1.18,34.124
2022-04-04 06:57:46,1072,1.18,34.124
2022-04-04 07:01:04,1048,1.18,34.124
2022-04-05 07:59:36,1120,7.34,45.212
2022-04-05 14:27:48,1128,15.67,60.206
2022-04-06 06:22:45,1224,8.39,47.102
2022-04-06 14:14:29,1272,7.4,45.32
2022-04-06 14:18:57,1232,7.4,45.32
2022-04-07 07:36:31,1344,4.67,40.406
2022-04-08 07:03:45,616,3.32,37.976
2022-04-09 11:37:10,600,10.69,51.242
2022-04-10 11:02:02,664,4.18,39.524
2022-04-11 06:26:29,688,3.25,37.85
2022-04-12 12:40:33,584,12.56,54.608
2022-04-13 06:47:29,584,13.85,56.93
2022-04-14 06:56:21,600,9.0,48.2
2022-04-14 15:18:24,640,10.2,50.36
2022-04-15 07:34:34,680,7.13,44.834
2022-04-19 06:23:04,712,5.43,41.774
2022-04-19 06:27:04,744,5.43,41.774
2022-04-19 06:33:41,768,5.43,41.774
2022-04-19 10:48:35,760,13.24,55.832
2022-04-19 10:50:06,744,13.24,55.832
2022-04-21 08:07:38,928,6.55,43.79
2022-04-21 08:09:10,880,6.55,43.79
2022-04-21 10:37:28,920,6.55,43.79
2022-04-22 06:19:46,944,10.96,51.728
2022-04-22 06:22:03,968,10.96,51.728
2022-04-22 08:55:53,1024,12.54,54.572
2022-04-22 08:58:32,992,12.54,54.572
2022-04-22 09:01:50,1104,12.54,54.572
2022-04-25 06:24:47,1176,8.4,47.120000000000005
2022-04-25 06:30:10,1136,8.4,47.120000000000005
2022-04-25 06:33:15,1096,8.4,47.120000000000005
2022-04-25 13:41:12,1064,9.94,49.892
2022-04-26 06:33:53,1088,6.89,44.402
2022-04-26 10:41:01,1040,7.53,45.554
2022-04-26 10:43:46,1032,7.53,45.554
2022-04-26 11:05:52,1096,7.53,45.554
2022-04-27 07:10:57,1128,11.45,52.61
2022-04-27 15:09:46,1224,13.55,56.39
2022-04-27 15:25:25,1224,13.55,56.39
2022-04-28 06:58:37,1368,1.58,34.844
2022-04-28 10:01:30,1328,1.5,34.7
2022-05-02 12:54:33,552,10.28,50.504
2022-05-02 13:04:05,528,10.28,50.504
2022-05-03 07:58:22,616,6.99,44.582
2022-05-04 06:43:26,600,9.92,49.856
2022-05-04 06:48:37,576,9.92,49.856
2022-05-05 06:44:39,608,10.9,51.620000000000005
2022-05-05 13:49:50,584,13.41,56.138000000000005
2022-05-06 07:28:10,576,14.47,58.04600000000001
2022-05-09 06:45:38,728,4.42,39.956
2022-05-09 06:47:39,784,4.42,39.956
2022-05-09 06:55:10,784,4.42,39.956
2022-05-09 10:17:40,784,7.11,44.798
2022-05-10 08:11:02,784,11.39,52.502
2022-05-10 08:13:36,832,11.39,52.502
2022-05-10 14:25:44,832,14.09,57.362
2022-05-10 14:32:51,824,14.09,57.362
2022-05-11 06:20:28,920,7.47,45.446
2022-05-11 06:21:47,880,7.47,45.446
2022-05-11 09:33:26,960,10.85,51.53
2022-05-11 09:34:34,936,10.85,51.53
2022-05-11 09:39:41,1032,10.85,51.53
2022-05-11 11:12:07,1008,10.85,51.53
2022-05-11 12:43:37,968,10.85,51.53
2022-05-12 06:46:17,992,12.0,53.6
2022-05-12 06:56:14,976,12.0,53.6
2022-05-12 06:57:20,912,12.0,53.6
2022-05-12 11:00:30,1040,13.27,55.886
2022-05-12 13:57:59,992,13.27,55.886
2022-05-13 06:54:22,984,14.55,58.19
2022-05-13 06:55:26,960,14.55,58.19
2022-05-13 13:32:48,952,15.41,59.738
2022-09-05 07:13:10,696,23.18,73.724
2022-09-06 08:30:27,752,18.58,65.44399999999999
2022-09-06 08:32:06,752,18.58,65.44399999999999
2022-09-06 13:32:24,800,18.58,65.44399999999999
2022-09-07 07:03:30,840,17.74,63.932
2022-09-07 07:08:06,824,17.74,63.932
2022-09-07 14:04:02,776,21.3,70.34
2022-09-08 06:50:14,800,16.76,62.168000000000006
2022-09-08 06:52:42,808,16.76,62.168000000000006
2022-09-08 12:27:48,768,17.39,63.30200000000001
2022-09-09 06:59:16,784,16.67,62.006
2022-09-09 07:02:53,760,16.67,62.006
2022-09-09 07:04:14,720,16.67,62.006
2022-09-09 09:19:10,704,16.73,62.114
2022-09-09 13:50:48,704,16.73,62.114
2022-09-10 10:06:57,808,20.06,68.108
2022-09-11 10:29:05,816,21.56,70.80799999999999
2022-09-12 11:13:59,816,20.09,68.162
2022-09-12 11:20:10,872,20.09,68.162
2022-09-12 11:25:18,896,20.09,68.162
2022-09-13 08:01:35,920,21.25,70.25
2022-09-13 08:06:48,968,21.25,70.25
2022-09-13 08:26:58,976,21.25,70.25
2022-09-13 08:28:31,912,21.25,70.25
2022-09-13 09:04:52,984,21.25,70.25
2022-09-13 09:05:58,984,21.25,70.25
2022-09-14 08:14:27,1160,17.86,64.148
2022-09-14 09:09:08,1304,17.86,64.148
2022-09-14 09:20:46,1352,17.86,64.148
2022-09-14 09:21:50,1208,17.86,64.148
2022-09-15 09:39:00,504,15.63,60.134
2022-09-16 06:57:05,544,13.41,56.138000000000005
2022-09-16 07:15:50,536,13.41,56.138000000000005
2022-09-16 07:23:10,512,13.41,56.138000000000005
2022-09-16 11:24:08,528,13.59,56.462
2022-09-16 13:29:21,504,13.59,56.462
2022-09-17 09:48:51,552,12.82,55.076
2022-09-18 10:45:43,512,18.7,65.66
2022-09-19 09:19:42,520,15.9,60.620000000000005
2022-09-20 07:46:52,560,15.68,60.224
2022-09-20 08:09:51,792,16.46,61.628
2022-09-21 07:28:43,624,14.92,58.856
2022-09-21 07:31:33,624,14.92,58.856
2022-09-21 07:33:22,592,14.92,58.856
2022-09-21 07:39:15,592,14.92,58.856
2022-09-22 12:04:31,632,21.49,70.68199999999999
2022-09-23 07:08:33,904,12.72,54.896
2022-09-23 07:09:37,720,12.72,54.896
2022-09-23 07:15:56,784,12.72,54.896
2022-09-23 12:34:29,760,11.01,51.818
2022-09-23 12:42:29,736,11.01,51.818
2022-09-25 10:33:38,856,12.77,54.986
2022-09-26 06:50:01,808,17.45,63.41
2022-09-26 06:51:16,840,17.45,63.41
2022-09-26 06:52:35,848,17.45,63.41
2022-09-26 06:55:04,880,17.45,63.41
2022-09-26 06:58:13,896,17.45,63.41
2022-09-26 07:00:36,904,17.45,63.41
2022-09-26 09:42:17,960,16.79,62.222
2022-09-26 12:22:30,920,16.79,62.222
2022-09-26 12:23:46,832,16.79,62.222
2022-09-26 12:26:06,888,16.79,62.222
2022-09-27 09:07:48,1016,16.67,62.006
2022-09-27 09:24:49,1104,16.67,62.006
2022-09-27 13:55:43,1040,16.67,62.006
2022-09-30 08:39:09,1152,10.03,50.054
2022-09-30 08:40:43,1144,10.03,50.054
2022-09-30 08:42:56,1208,10.03,50.054
2022-09-30 08:49:45,1248,10.03,50.054
2022-09-30 09:53:51,1160,10.03,50.054
2022-10-01 10:23:54,1352,11.22,52.196
