readingDtUtz,valuePsi,celsius,fahrenheit
2021-12-19T02:42:29,1192,3.52,38.336
2021-12-19T02:43:00,1104,3.52,38.336
2021-12-19T02:43:43,1080,3.52,38.336
2021-12-19T02:44:14,1072,3.52,38.336
2021-12-19T12:21:07,1112,-4.87,23.234
2021-12-19T12:21:37,1080,-4.87,23.234
2021-12-20T05:08:59,1224,-10.97,12.253999999999998
2021-12-20T05:09:31,1144,-10.97,12.253999999999998
2021-12-20T05:10:18,1200,-10.97,12.253999999999998
2021-12-20T05:10:49,1152,-10.97,12.253999999999998
2021-12-20T14:31:21,1336,-2.55,27.41
2021-12-20T14:31:53,1320,-2.55,27.41
2021-12-20T18:00:43,1264,-2.55,27.41
2021-12-20T18:01:14,1216,-2.55,27.41
2021-12-20T18:02:09,1200,-2.55,27.41
2021-12-20T18:02:40,1144,-2.55,27.41
2021-12-20T19:05:23,1288,-4.0,24.8
2021-12-20T19:05:55,1240,-4.0,24.8
2021-12-21T05:52:30,1320,-4.82,23.324
2021-12-21T19:33:07,408,1.71,35.078
2021-12-21T19:33:39,400,1.71,35.078
2021-12-22T07:53:55,392,2.08,35.744
2021-12-22T07:54:26,384,2.08,35.744
2021-12-22T12:39:36,392,2.08,35.744
2021-12-22T12:40:07,384,2.08,35.744
2021-12-23T13:55:32,384,-4.98,23.036
2021-12-23T13:56:03,376,-4.98,23.036
2021-12-23T19:40:24,384,-5.92,21.344
2021-12-23T19:40:55,384,-5.92,21.344
2021-12-23T19:41:42,376,-5.92,21.344
2021-12-23T19:42:13,376,-5.92,21.344
2021-12-23T22:17:47,392,-5.92,21.344
2021-12-23T22:18:18,376,-5.92,21.344
2021-12-23T22:51:58,384,-5.92,21.344
2021-12-23T22:52:29,376,-5.92,21.344
2021-12-23T23:50:18,384,-5.92,21.344
2021-12-23T23:50:49,376,-5.92,21.344
2021-12-24T00:21:31,384,-5.92,21.344
2021-12-24T00:22:02,376,-5.92,21.344
2021-12-24T00:53:09,376,-5.92,21.344
2021-12-24T00:53:41,368,-5.92,21.344
2021-12-24T00:55:48,368,-5.92,21.344
2021-12-24T00:56:20,368,-5.92,21.344
2021-12-24T00:58:10,360,-5.92,21.344
2021-12-24T00:58:42,360,-5.92,21.344
2021-12-24T06:47:37,392,-4.46,23.972
2021-12-24T06:48:08,384,-4.46,23.972
2021-12-24T06:51:10,384,-4.46,23.972
2021-12-24T06:51:41,384,-4.46,23.972
2021-12-24T06:52:38,376,-4.46,23.972
2021-12-24T06:53:10,376,-4.46,23.972
2021-12-24T15:49:55,400,-2.47,27.554
2021-12-24T15:50:26,392,-2.47,27.554
2021-12-24T17:02:27,168,-2.47,27.554
2021-12-24T17:05:45,392,-2.47,27.554
2021-12-24T17:13:42,384,-2.47,27.554
2021-12-24T17:14:13,384,-2.47,27.554
2021-12-24T17:42:32,392,-2.47,27.554
2021-12-24T17:43:02,384,-2.47,27.554
2021-12-24T17:48:43,376,-2.47,27.554
2021-12-24T17:49:14,368,-2.47,27.554
2021-12-26T10:29:16,400,-0.53,31.046
2021-12-26T10:29:47,392,-0.53,31.046
2021-12-26T14:29:10,384,-0.14,31.748
2021-12-26T15:06:11,160,-0.14,31.748
2021-12-26T15:07:31,376,-0.14,31.748
2021-12-26T15:08:02,368,-0.14,31.748
2021-12-26T16:11:11,376,-0.14,31.748
2021-12-26T16:11:43,432,-0.14,31.748
2021-12-26T16:12:23,400,-0.14,31.748
2021-12-26T16:12:54,360,-0.14,31.748
2021-12-26T20:11:17,416,-1.2,29.84
2021-12-26T20:11:49,440,-1.2,29.84
2021-12-26T20:12:51,400,-1.2,29.84
2021-12-26T20:13:22,400,-1.2,29.84
2021-12-26T20:20:47,416,-1.2,29.84
2021-12-26T20:21:18,408,-1.2,29.84
2021-12-27T00:23:41,448,-1.2,29.84
2021-12-27T00:24:12,432,-1.2,29.84
2021-12-27T01:44:13,456,-3.94,24.908
2021-12-27T01:44:44,464,-3.94,24.908
2021-12-27T01:45:55,480,-3.94,24.908
2021-12-27T01:46:26,448,-3.94,24.908
2021-12-27T05:09:32,448,-3.94,24.908
2021-12-27T05:10:26,432,-3.94,24.908
2021-12-27T05:10:58,416,-3.94,24.908
2021-12-27T15:34:18,408,-0.02,31.964
2021-12-27T15:34:49,400,-0.02,31.964
2021-12-27T15:42:48,392,-0.02,31.964
2021-12-27T15:43:20,384,-0.02,31.964
2021-12-28T14:30:08,384,5.12,41.216
2021-12-28T14:30:39,384,5.12,41.216
2021-12-28T14:32:00,376,5.12,41.216
2021-12-28T14:32:31,376,5.12,41.216
2021-12-28T15:06:20,376,5.12,41.216
2021-12-28T15:06:51,368,5.12,41.216
2021-12-28T16:21:35,376,5.12,41.216
2021-12-28T16:22:06,368,5.12,41.216
2021-12-28T17:08:22,368,5.12,41.216
2021-12-28T17:08:52,368,5.12,41.216
2021-12-28T19:29:09,368,4.1,39.38
2021-12-28T19:29:40,368,4.1,39.38
2021-12-28T19:31:15,368,4.1,39.38
2021-12-28T19:31:46,360,4.1,39.38
2021-12-28T19:51:36,360,4.1,39.38
2021-12-28T19:52:07,360,4.1,39.38
2021-12-28T20:00:50,360,4.1,39.38
2021-12-28T20:01:21,352,4.1,39.38
2021-12-28T20:03:32,352,4.1,39.38
2021-12-28T20:04:02,352,4.1,39.38
2021-12-28T20:46:54,360,4.1,39.38
2021-12-28T20:47:26,352,4.1,39.38
2021-12-28T21:09:16,352,4.1,39.38
2021-12-28T21:09:47,344,4.1,39.38
2021-12-29T06:09:13,376,2.02,35.636
2021-12-29T06:09:44,368,2.02,35.636
2021-12-29T14:14:07,384,5.41,41.738
2021-12-29T14:14:38,376,5.41,41.738
2021-12-29T15:10:32,376,5.41,41.738
2021-12-29T15:11:02,368,5.41,41.738
2021-12-29T15:48:23,368,5.41,41.738
2021-12-29T15:48:54,360,5.41,41.738
2021-12-29T16:15:48,368,5.41,41.738
2021-12-29T16:16:19,360,5.41,41.738
2021-12-29T17:00:26,368,5.41,41.738
2021-12-29T17:00:58,360,5.41,41.738
2021-12-29T17:17:18,360,5.41,41.738
2021-12-29T17:17:49,352,5.41,41.738
2021-12-29T17:40:31,360,5.41,41.738
2021-12-29T17:41:02,352,5.41,41.738
2021-12-29T19:24:50,368,4.99,40.982
2021-12-29T19:25:21,360,4.99,40.982
2021-12-29T20:05:38,360,4.99,40.982
2021-12-29T20:06:10,360,4.99,40.982
2021-12-29T20:51:48,368,4.99,40.982
2021-12-29T20:52:20,384,4.99,40.982
2021-12-29T21:25:21,376,4.99,40.982
2021-12-29T21:25:52,352,4.99,40.982
2021-12-29T22:06:08,480,4.99,40.982
2021-12-29T22:06:38,448,4.99,40.982
2021-12-30T08:17:23,400,3.25,37.85
2021-12-30T08:17:54,376,3.25,37.85
2021-12-30T12:40:02,400,3.25,37.85
2021-12-30T12:40:33,400,3.25,37.85
2021-12-30T14:38:57,440,4.97,40.946
2021-12-30T14:39:21,440,4.97,40.946
2021-12-30T14:44:43,184,4.97,40.946
2021-12-30T14:46:43,440,4.97,40.946
2021-12-30T14:47:13,496,4.97,40.946
2021-12-30T14:48:03,448,4.97,40.946
2021-12-30T14:48:35,424,4.97,40.946
2021-12-30T15:15:26,432,4.97,40.946
2021-12-30T15:15:56,416,4.97,40.946
2021-12-30T15:58:53,408,4.97,40.946
2021-12-30T15:59:24,392,4.97,40.946
2021-12-30T17:39:31,440,4.97,40.946
2021-12-30T17:39:53,456,4.97,40.946
2021-12-30T18:50:11,176,4.97,40.946
2021-12-30T18:51:08,464,4.97,40.946
2021-12-30T18:51:38,448,4.97,40.946
2021-12-30T18:53:11,488,4.97,40.946
2021-12-30T18:53:42,472,4.97,40.946
2021-12-30T20:26:26,528,4.57,40.226
2021-12-30T20:26:57,528,4.57,40.226
2021-12-30T21:01:37,520,4.57,40.226
2021-12-30T21:02:09,496,4.57,40.226
2021-12-30T21:03:23,504,4.57,40.226
2021-12-30T21:03:54,496,4.57,40.226
2021-12-30T23:30:59,488,4.57,40.226
2021-12-30T23:31:30,488,4.57,40.226
2021-12-30T23:32:51,504,4.57,40.226
2021-12-30T23:33:23,488,4.57,40.226
2021-12-30T23:43:18,520,4.57,40.226
2021-12-30T23:43:49,488,4.57,40.226
2021-12-31T00:30:59,512,4.57,40.226
2021-12-31T00:31:30,488,4.57,40.226
2021-12-31T01:38:09,616,5.06,41.108
2021-12-31T01:38:40,512,5.06,41.108
2021-12-31T04:57:45,496,5.06,41.108
2021-12-31T04:58:16,472,5.06,41.108
2021-12-31T13:39:38,400,7.75,45.95
2021-12-31T13:40:09,384,7.75,45.95
2021-12-31T15:18:39,384,7.75,45.95
2021-12-31T15:19:10,384,7.75,45.95
2021-12-31T18:15:11,384,7.75,45.95
2021-12-31T18:15:42,376,7.75,45.95
2021-12-31T18:46:36,376,7.75,45.95
2021-12-31T18:47:07,368,7.75,45.95
2021-12-31T19:31:52,368,6.69,44.042
2021-12-31T19:32:22,368,6.69,44.042
2022-01-01T06:29:24,376,7.72,45.896
2022-01-01T06:29:24,376,7.72,45.896
2022-01-01T06:29:55,368,7.72,45.896
2022-01-01T06:29:55,368,7.72,45.896
2022-01-01T07:40:03,376,8.09,46.562
2022-01-01T07:40:03,376,8.09,46.562
2022-01-01T07:40:34,368,8.09,46.562
2022-01-01T07:40:34,368,8.09,46.562
2022-01-01T14:53:46,376,10.26,50.468
2022-01-01T14:53:46,376,10.26,50.468
2022-01-01T15:37:08,368,10.26,50.468
2022-01-01T15:37:08,368,10.26,50.468
2022-01-01T15:37:39,368,10.26,50.468
2022-01-01T15:37:39,368,10.26,50.468
2022-01-01T16:27:05,368,10.26,50.468
2022-01-01T16:27:05,368,10.26,50.468
2022-01-01T16:27:37,360,10.26,50.468
2022-01-01T16:27:37,360,10.26,50.468
2022-01-01T20:02:56,368,10.8,51.44
2022-01-01T20:02:56,368,10.8,51.44
2022-01-01T20:03:27,368,10.8,51.44
2022-01-01T20:03:27,368,10.8,51.44
2022-01-01T20:35:58,360,10.8,51.44
2022-01-01T20:35:58,360,10.8,51.44
2022-01-01T20:36:29,360,10.8,51.44
2022-01-01T20:36:29,360,10.8,51.44
2022-01-01T21:24:12,360,10.8,51.44
2022-01-01T21:24:12,360,10.8,51.44
2022-01-01T23:22:22,368,10.8,51.44
2022-01-01T23:22:22,368,10.8,51.44
2022-01-01T23:22:53,360,10.8,51.44
2022-01-01T23:22:53,360,10.8,51.44
2022-01-01T23:33:31,360,10.8,51.44
2022-01-01T23:33:31,360,10.8,51.44
2022-01-01T23:34:01,352,10.8,51.44
2022-01-01T23:34:01,352,10.8,51.44
2022-01-02T09:20:02,368,6.89,44.402
2022-01-02T09:20:33,368,6.89,44.402
2022-01-02T13:38:50,368,6.52,43.736
2022-01-02T13:39:21,360,6.52,43.736
2022-01-02T13:48:14,368,6.52,43.736
2022-01-02T13:48:45,360,6.52,43.736
2022-01-02T13:52:29,352,6.52,43.736
2022-01-02T13:53:01,352,6.52,43.736
2022-01-02T16:23:32,360,6.52,43.736
2022-01-02T16:24:03,360,6.52,43.736
2022-01-02T21:08:19,376,1.36,34.448
2022-01-02T21:08:50,384,1.36,34.448
2022-01-02T21:14:44,360,1.36,34.448
2022-01-02T21:15:16,360,1.36,34.448
2022-01-02T21:28:11,368,1.36,34.448
2022-01-02T21:28:42,392,1.36,34.448
2022-01-02T21:29:25,352,1.36,34.448
2022-01-02T21:29:56,360,1.36,34.448
2022-01-02T21:31:38,376,1.36,34.448
2022-01-02T21:32:09,352,1.36,34.448
2022-01-02T21:37:48,344,1.36,34.448
2022-01-02T21:38:19,336,1.36,34.448
2022-01-02T22:06:53,368,1.36,34.448
2022-01-02T22:07:23,384,1.36,34.448
2022-01-02T22:11:58,376,1.36,34.448
2022-01-02T22:12:30,352,1.36,34.448
2022-01-02T22:36:30,376,1.36,34.448
2022-01-02T22:37:01,392,1.36,34.448
2022-01-02T22:38:07,400,1.36,34.448
2022-01-02T22:38:37,368,1.36,34.448
2022-01-02T22:40:28,360,1.36,34.448
2022-01-02T22:40:59,352,1.36,34.448
2022-01-02T22:43:27,392,1.36,34.448
2022-01-02T22:43:59,384,1.36,34.448
2022-01-02T22:45:17,384,1.36,34.448
2022-01-02T22:45:48,368,1.36,34.448
2022-01-02T22:47:18,368,1.36,34.448
2022-01-02T22:47:49,360,1.36,34.448
2022-01-02T22:49:03,360,1.36,34.448
2022-01-02T22:49:34,368,1.36,34.448
2022-01-02T22:50:32,360,1.36,34.448
2022-01-02T22:51:03,344,1.36,34.448
2022-01-03T01:19:39,376,-4.44,24.008000000000003
2022-01-03T01:20:10,336,-4.44,24.008000000000003
2022-01-03T01:21:34,336,-4.44,24.008000000000003
2022-01-03T01:22:04,328,-4.44,24.008000000000003
2022-01-03T01:29:45,336,-4.44,24.008000000000003
2022-01-03T01:30:17,328,-4.44,24.008000000000003
2022-01-03T01:32:05,352,-4.44,24.008000000000003
2022-01-03T01:32:35,336,-4.44,24.008000000000003
2022-01-03T01:33:43,376,-4.44,24.008000000000003
2022-01-03T01:34:15,352,-4.44,24.008000000000003
2022-01-03T04:37:01,184,-4.44,24.008000000000003
2022-01-03T04:37:40,352,-4.44,24.008000000000003
2022-01-03T04:38:11,344,-4.44,24.008000000000003
2022-01-03T08:10:14,424,-8.28,17.096
2022-01-03T08:10:45,408,-8.28,17.096
2022-01-03T13:25:15,424,-7.96,17.672
2022-01-03T13:25:46,408,-7.96,17.672
2022-01-04T07:19:40,408,-13.56,7.591999999999999
2022-01-04T07:21:37,400,-13.56,7.591999999999999
2022-01-04T07:22:08,400,-13.56,7.591999999999999
2022-01-04T14:50:57,416,-1.42,29.444
2022-01-04T14:51:27,408,-1.42,29.444
2022-01-05T07:25:30,408,-1.57,29.174
2022-01-05T07:26:02,400,-1.57,29.174
2022-01-05T13:59:37,400,10.02,50.036
2022-01-05T14:00:09,392,10.02,50.036
2022-01-05T21:32:02,384,7.59,45.662
2022-01-05T21:32:33,376,7.59,45.662
2022-01-06T07:06:08,376,0.29,32.522
2022-01-06T07:06:39,376,0.29,32.522
2022-01-06T09:45:50,376,0.29,32.522
2022-01-06T09:46:21,368,0.29,32.522
2022-01-06T10:18:30,376,0.29,32.522
2022-01-06T10:19:01,368,0.29,32.522
2022-01-06T10:51:03,368,0.29,32.522
2022-01-06T10:51:34,368,0.29,32.522
2022-01-06T13:38:23,376,0.08,32.144
2022-01-06T13:38:53,368,0.08,32.144
2022-01-06T22:04:31,384,-1.66,29.012
2022-01-06T22:05:02,376,-1.66,29.012
2022-01-07T09:47:30,400,-4.95,23.09
2022-01-07T09:48:00,392,-4.95,23.09
2022-01-07T10:23:48,392,-4.95,23.09
2022-01-07T10:24:19,392,-4.95,23.09
2022-01-07T20:08:13,392,-5.54,22.028
2022-01-07T20:08:46,384,-5.54,22.028
2022-01-07T23:55:30,384,-5.54,22.028
2022-01-07T23:56:01,384,-5.54,22.028
2022-01-07T23:59:46,376,-5.54,22.028
2022-01-08T00:00:17,376,-5.54,22.028
2022-01-08T01:13:23,384,-11.42,11.444
2022-01-08T01:13:55,376,-11.42,11.444
2022-01-08T01:37:52,376,-11.42,11.444
2022-01-08T01:38:24,368,-11.42,11.444
2022-01-08T01:40:09,368,-11.42,11.444
2022-01-08T01:40:40,360,-11.42,11.444
2022-01-08T02:21:27,368,-11.42,11.444
2022-01-08T02:21:58,368,-11.42,11.444
2022-01-08T08:34:33,392,-15.23,4.585999999999999
2022-01-08T08:35:05,384,-15.23,4.585999999999999
2022-01-08T10:02:13,392,-15.23,4.585999999999999
2022-01-08T10:02:44,384,-15.23,4.585999999999999
2022-01-08T13:14:34,400,-6.84,19.688
2022-01-08T13:15:05,392,-6.84,19.688
2022-01-08T14:29:10,400,-6.84,19.688
2022-01-08T14:29:41,392,-6.84,19.688
2022-01-08T20:32:43,408,-4.76,23.432
2022-01-08T20:33:14,400,-4.76,23.432
2022-01-08T21:34:07,400,-4.76,23.432
2022-01-08T21:34:38,392,-4.76,23.432
2022-01-08T23:01:56,400,-4.76,23.432
2022-01-08T23:02:27,392,-4.76,23.432
2022-01-08T23:04:06,384,-4.76,23.432
2022-01-08T23:04:37,384,-4.76,23.432
2022-01-08T23:46:52,392,-4.76,23.432
2022-01-08T23:47:24,384,-4.76,23.432
2022-01-09T00:07:34,392,-4.76,23.432
2022-01-09T00:08:05,376,-4.76,23.432
2022-01-09T00:19:50,400,-4.76,23.432
2022-01-09T00:20:21,400,-4.76,23.432
2022-01-09T01:23:33,408,-10.14,13.747999999999998
2022-01-09T01:24:05,400,-10.14,13.747999999999998
2022-01-09T01:25:20,416,-10.14,13.747999999999998
2022-01-09T01:25:51,416,-10.14,13.747999999999998
2022-01-09T01:26:50,400,-10.14,13.747999999999998
2022-01-09T01:27:21,384,-10.14,13.747999999999998
2022-01-09T07:27:14,432,-6.52,20.264000000000003
2022-01-09T07:27:45,424,-6.52,20.264000000000003
2022-01-09T07:29:10,448,-6.52,20.264000000000003
2022-01-09T07:29:42,424,-6.52,20.264000000000003
2022-01-10T05:44:08,432,-0.0699999999999999,31.874
2022-01-10T05:44:39,416,-0.0699999999999999,31.874
2022-01-10T12:25:08,432,-6.01,21.182
2022-01-10T12:25:39,440,-6.01,21.182
2022-01-10T13:08:50,440,-5.49,22.118
2022-01-10T13:09:20,440,-5.49,22.118
2022-01-11T08:14:15,488,-20.62,-5.116
2022-01-11T08:14:45,464,-20.62,-5.116
2022-01-11T12:42:13,480,-20.62,-5.116
2022-01-11T12:42:44,456,-20.62,-5.116
2022-01-11T13:38:46,480,-18.2,-0.759999999999998
2022-01-11T13:39:17,464,-18.2,-0.759999999999998
2022-01-11T14:03:06,472,-18.2,-0.759999999999998
2022-01-11T14:03:36,448,-18.2,-0.759999999999998
2022-01-11T18:46:00,488,-18.2,-0.759999999999998
2022-01-11T18:46:31,488,-18.2,-0.759999999999998
2022-01-12T07:02:27,504,-16.34,2.588000000000001
2022-01-12T07:02:58,504,-16.34,2.588000000000001
2022-01-12T17:39:57,496,0.33,32.594
2022-01-12T17:40:27,512,0.33,32.594
2022-01-12T21:51:48,488,0.17,32.306
2022-01-12T21:52:19,472,0.17,32.306
2022-01-13T07:58:26,496,0.41,32.738
2022-01-13T07:58:57,488,0.41,32.738
2022-01-13T14:14:55,520,6.53,43.754000000000005
2022-01-13T14:15:25,512,6.53,43.754000000000005
2022-01-13T15:41:16,520,6.53,43.754000000000005
2022-01-13T15:41:48,488,6.53,43.754000000000005
2022-01-13T22:27:43,504,4.04,39.272
2022-01-13T22:28:14,496,4.04,39.272
2022-01-14T09:27:00,496,-1.78,28.796
2022-01-14T09:27:31,488,-1.78,28.796
2022-01-14T09:40:13,496,-1.78,28.796
2022-01-14T09:40:44,456,-1.78,28.796
2022-01-15T07:08:49,568,-24.69,-12.442
2022-01-15T07:09:20,512,-24.69,-12.442
2022-01-15T07:17:24,536,-24.69,-12.442
