date,mean_valuePsi,median_valuePsi,max_valuePsi,min_valuePsi,mean_celsius,median_celsius,max_celsius,min_celsius,mean_fahrenheit,median_fahrenheit,max_fahrenheit,min_fahrenheit
2021-08-25,749.0,760.0,808.0,672.0,26.2125,22.7,36.75,22.7,79.1825,72.86,98.15,72.86
2021-08-26,828.0,840.0,880.0,744.0,29.93166666666667,33.18,33.18,22.56,85.87700000000001,91.724,91.724,72.608
2021-08-27,825.0,820.0,936.0,696.0,31.537500000000005,32.115,34.02,28.67,88.7675,89.807,93.236,83.606
2021-08-28,602.0512820512821,608.0,936.0,184.0,20.252051282051287,20.67,20.67,18.97,68.45369230769232,69.206,69.206,66.146
2021-08-29,843.8095238095239,776.0,1976.0,712.0,21.11190476190476,21.46,22.39,18.51,70.00142857142856,70.628,72.30199999999999,65.31800000000001
2021-08-30,850.7692307692307,800.0,1968.0,192.0,27.99730769230769,29.48,31.4,22.85,82.39515384615385,85.064,88.52,73.13
2021-08-31,865.0,944.0,1104.0,184.0,24.79499999999999,22.71,28.27,22.71,76.631,72.878,82.886,72.878
2021-09-01,1222.909090909091,1268.0,1392.0,200.0,20.914545454545458,21.42,21.45,17.93,69.64618181818183,70.55600000000001,70.61,64.274
2021-09-02,1504.32,1552.0,1696.0,176.0,19.565200000000008,21.16,21.16,16.07,67.21735999999999,70.088,70.088,60.926
2021-09-03,1652.0,1736.0,1856.0,1144.0,20.663846153846162,22.66,22.66,15.78,69.19492307692309,72.78800000000001,72.78800000000001,60.404
2021-09-04,1701.5652173913043,1744.0,1848.0,1384.0,22.369565217391315,24.91,24.91,17.32,72.26521739130432,76.838,76.838,63.176
2021-09-05,1556.235294117647,1544.0,1800.0,1424.0,20.208823529411767,20.9,22.17,17.46,68.37588235294118,69.62,71.906,63.428
2021-09-06,1532.0,1532.0,1760.0,1376.0,23.585,21.05,27.81,21.05,74.453,69.89,82.05799999999999,69.89
2021-09-07,1620.0,1892.0,1992.0,192.0,23.216666666666665,26.1,26.1,19.18,73.79,78.98,78.98,66.524
2021-09-08,670.7692307692307,320.0,1912.0,168.0,21.580000000000005,21.42,29.1,18.1,70.84400000000002,70.55600000000001,84.38,64.58000000000001
2021-09-09,345.7142857142857,344.0,376.0,336.0,22.87857142857143,23.32,23.91,21.24,73.18142857142857,73.976,75.03800000000001,70.232
2021-09-10,376.57142857142856,368.0,424.0,336.0,21.452857142857138,19.64,24.01,19.43,70.61514285714284,67.352,75.218,66.974
2021-09-11,448.0,448.0,544.0,320.0,20.494516129032263,24.42,24.42,15.55,68.89012903225802,75.956,75.956,59.99
2021-09-12,547.6666666666666,552.0,616.0,472.0,23.980000000000004,26.509999999999998,28.19,17.48,75.16399999999997,79.71799999999999,82.742,63.464
2021-09-13,646.8,656.0,688.0,584.0,23.126999999999992,24.215,25.53,20.18,73.62859999999998,75.587,77.95400000000001,68.324
2021-09-14,764.0,768.0,784.0,728.0,18.09,18.09,18.09,18.09,64.562,64.562,64.562,64.562
2021-09-15,840.6666666666666,848.0,880.0,792.0,21.160000000000004,20.34,22.8,20.34,70.08799999999998,68.612,73.03999999999999,68.612
2021-09-16,761.1428571428571,768.0,928.0,568.0,20.63857142857143,20.33,22.85,18.67,69.14942857142859,68.594,73.13,65.606
2021-09-17,714.3333333333334,716.0,768.0,656.0,19.533333333333328,20.13,20.13,18.51,67.16,68.23400000000001,68.23400000000001,65.31800000000001
2021-09-18,746.0,752.0,776.0,688.0,21.482500000000005,22.27,22.88,18.51,70.6685,72.086,73.184,65.31800000000001
2021-09-19,825.8461538461538,832.0,896.0,720.0,19.60846153846154,18.39,21.93,17.49,67.29523076923076,65.102,71.474,63.482
2021-09-20,951.5,956.0,1024.0,872.0,20.361250000000005,22.28,22.28,15.29,68.65025000000003,72.10400000000001,72.10400000000001,59.522
2021-09-21,1138.857142857143,1148.0,1296.0,952.0,18.25142857142857,15.02,22.56,15.02,64.85257142857141,59.036,72.608,59.036
2021-09-22,1310.4,1352.0,1432.0,1128.0,22.150666666666666,21.46,24.53,20.98,71.87120000000002,70.628,76.154,69.76400000000001
2021-09-23,1306.3703703703704,1336.0,1576.0,256.0,24.206296296296298,24.12,26.5,20.75,75.57133333333333,75.416,79.7,69.35
2021-09-24,876.0,808.0,1552.0,328.0,24.573333333333327,24.54,25.26,23.3,76.23199999999999,76.172,77.468,73.94
