date,mean_valuePsi,median_valuePsi,max_valuePsi,min_valuePsi,mean_celsius,median_celsius,max_celsius,min_celsius,mean_fahrenheit,median_fahrenheit,max_fahrenheit,min_fahrenheit
2021-12-19,1188.48,1172.0,1584.0,784.0,-5.5932,-4.87,-3.95,-7.35,21.93223999999999,23.234,24.89,18.77
2021-12-20,1588.0,1560.0,2032.0,1216.0,-7.65769230769231,-10.85,-2.55,-10.85,18.21615384615385,12.47,27.41,12.47
2021-12-21,1216.0,1448.0,1568.0,408.0,0.8700000000000001,0.8700000000000001,4.9,-3.16,33.566,33.566,40.82,26.312
2021-12-22,396.0,392.0,472.0,384.0,0.6914285714285712,2.13,2.13,-1.99,33.24457142857143,35.834,35.834,28.418
2021-12-23,404.0,404.0,408.0,400.0,-5.460000000000001,-5.460000000000001,-4.98,-5.94,22.171999999999997,22.172,23.036,21.308
2021-12-24,400.0,400.0,408.0,392.0,-2.1666666666666665,-2.01,-2.01,-2.48,28.100000000000005,28.382,28.382,27.536
2021-12-25,390.6666666666667,392.0,400.0,384.0,-1.2,-1.2,-1.2,-1.2,29.84,29.84,29.84,29.84
2021-12-26,392.0,392.0,392.0,392.0,-0.16,-0.16,-0.16,-0.16,31.712,31.712,31.712,31.712
2021-12-27,396.0,396.0,400.0,392.0,-4.99,-4.99,-4.99,-4.99,23.018,23.018,23.018,23.018
2021-12-28,396.0,396.0,400.0,392.0,5.08,5.08,5.08,5.08,41.144,41.144,41.144,41.144
2021-12-31,429.3333333333333,376.0,568.0,368.0,7.363333333333333,7.72,7.72,6.65,45.254,45.896,45.896,43.97
2022-01-01,372.0,372.0,376.0,368.0,10.23,10.23,10.23,10.23,50.414,50.414,50.414,50.414
2022-01-02,368.0,368.0,368.0,368.0,6.753333333333333,6.88,6.88,6.5,44.156,44.384,44.384,43.7
2022-01-03,403.0,404.0,416.0,392.0,-8.6025,-8.175,-8.04,-10.02,16.515499999999996,17.284999999999997,17.528,13.964
2022-01-04,421.3333333333333,424.0,448.0,392.0,-2.463333333333333,-1.38,-1.38,-4.63,27.566,29.516,29.516,23.666
2022-01-05,425.3333333333333,424.0,456.0,392.0,7.62,7.54,7.78,7.54,45.71600000000001,45.572,46.004000000000005,45.572
2022-01-06,435.0,436.0,480.0,400.0,-0.735,-0.735,0.23,-1.7,30.677,30.677,32.414,28.94
2022-01-07,478.0,460.0,568.0,424.0,-5.285,-5.285,-4.99,-5.58,22.487000000000002,22.487000000000002,23.018,21.956
2022-01-08,460.0,456.0,496.0,432.0,-15.26,-15.26,-15.26,-15.26,4.532,4.532,4.532,4.532
2022-01-09,457.7142857142857,464.0,512.0,416.0,-0.9342857142857139,1.16,1.51,-6.52,30.318285714285718,34.088,34.718,20.264000000000003
2022-01-10,534.6666666666666,540.0,592.0,480.0,-8.480000000000002,-8.48,-8.48,-8.48,16.735999999999994,16.735999999999997,16.735999999999997,16.735999999999997
2022-01-11,672.0,672.0,712.0,632.0,-18.22,-18.22,-18.22,-18.22,-0.7959999999999994,-0.7959999999999994,-0.7959999999999994,-0.7959999999999994
2022-01-12,634.6666666666666,636.0,656.0,616.0,0.11,0.11,0.11,0.11,32.198,32.198,32.198,32.198
2022-01-13,557.0,552.0,680.0,448.0,3.685,3.98,6.44,0.34,38.632999999999996,39.164,43.592,32.612
2022-01-14,546.0,536.0,640.0,464.0,-1.0650000000000002,-0.8200000000000001,-0.8200000000000001,-1.8,30.083000000000002,30.524,30.524,28.76
2022-01-15,692.0,696.0,728.0,648.0,-22.341999999999995,-24.73,-18.76,-24.73,-8.215600000000004,-12.514000000000005,-1.768000000000001,-12.514000000000005
2022-01-16,784.8888888888889,784.0,928.0,672.0,-12.218888888888891,-6.43,-6.4,-19.47,10.005999999999998,20.426,20.48,-3.046
2022-01-17,792.0,768.0,944.0,704.0,1.6466666666666665,0.11,4.72,0.11,34.964000000000006,32.198,40.496,32.198
2022-01-18,909.3333333333334,912.0,976.0,800.0,-8.429999999999998,-8.95,-7.38,-9.35,16.826000000000008,15.89,18.716,15.170000000000002
2022-05-14,2010.3529411764705,2032.0,2032.0,1952.0,21.646470588235307,22.35,22.35,19.36,70.96364705882354,72.23,72.23,66.848
2022-05-16,726.2222222222222,352.0,2032.0,352.0,19.224444444444444,19.52,19.52,18.19,66.60399999999998,67.136,67.136,64.742
2022-05-17,447.0769230769231,424.0,608.0,360.0,19.185384615384613,20.84,20.84,16.42,66.53369230769228,69.512,69.512,61.556
2022-05-18,715.6571428571428,680.0,960.0,528.0,20.272857142857145,21.16,21.16,13.83,68.49114285714282,70.088,70.088,56.894000000000005
2022-05-19,986.8,1032.0,1112.0,728.0,13.771999999999997,13.66,14.68,13.66,56.789599999999986,56.588,58.424,56.588
2022-05-20,388.44444444444446,380.0,528.0,360.0,17.03888888888888,18.33,18.33,12.52,62.67000000000001,64.994,64.994,54.536
2022-05-21,601.0,564.0,920.0,376.0,19.876000000000012,19.549999999999997,25.73,16.63,67.77679999999997,67.19,78.314,61.934
2022-05-22,1244.4444444444443,1192.0,2032.0,616.0,25.414222222222218,28.95,30.78,21.01,77.74559999999991,84.11,87.404,69.81800000000001
2022-05-23,1070.3407407407408,1072.0,2032.0,248.0,18.597185185185193,16.88,21.88,16.88,65.47493333333347,62.384,71.384,62.384
2022-05-24,492.641975308642,432.0,848.0,240.0,15.37222222222221,16.11,16.11,13.62,59.66999999999997,60.998000000000005,60.998000000000005,56.516
2022-05-25,356.0,352.0,368.0,344.0,19.671999999999993,20.32,20.32,17.08,67.40959999999998,68.576,68.576,62.744
2022-05-26,361.77777777777777,360.0,400.0,352.0,20.163333333333334,21.4,21.4,17.69,68.29400000000001,70.52,70.52,63.842
2022-05-27,365.7142857142857,360.0,408.0,344.0,26.36000000000001,26.36,26.36,26.36,79.448,79.44800000000001,79.44800000000001,79.44800000000001
2022-05-28,595.7142857142857,552.0,2032.0,240.0,20.323928571428564,20.34,20.34,19.89,68.58307142857146,68.612,68.612,67.80199999999999
2022-05-29,889.3333333333334,876.0,1128.0,336.0,18.805000000000003,18.19,24.34,18.19,65.84899999999998,64.742,75.812,64.742
2022-05-31,1304.0,1304.0,1360.0,1248.0,14.17,14.17,14.17,14.17,57.506,57.506,57.506,57.506
2022-06-01,348.14814814814815,344.0,368.0,336.0,15.698148148148151,15.81,15.81,14.48,60.25666666666669,60.458,60.458,58.064
2022-06-02,396.0,384.0,456.0,360.0,16.797500000000003,17.21,17.21,13.91,62.23549999999998,62.978,62.978,57.038
2022-06-03,442.2857142857143,440.0,552.0,384.0,16.217142857142854,16.7,16.7,13.32,61.190857142857126,62.06,62.06,55.976
