date,mean_valuePsi,median_valuePsi,max_valuePsi,min_valuePsi,mean_celsius,median_celsius,max_celsius,min_celsius,mean_fahrenheit,median_fahrenheit,max_fahrenheit,min_fahrenheit
2021-12-19,552.0,544.0,600.0,512.0,-6.043333333333333,-5.02,-5.02,-8.09,21.122,22.964,22.964,17.438000000000002
2021-12-20,564.0,556.0,640.0,504.0,-7.345555555555553,-10.87,-2.6,-11.05,18.778,12.434,27.32,12.11
2021-12-21,550.6666666666666,552.0,584.0,504.0,-1.7024999999999997,-3.08,5.03,-4.71,28.935499999999994,26.456,41.054,23.522
2021-12-22,570.6666666666666,568.0,584.0,560.0,2.85,2.85,2.85,2.85,37.13,37.13,37.13,37.13
2021-12-23,648.0,648.0,672.0,624.0,-6.84,-6.84,-6.84,-6.84,19.688,19.688,19.688,19.688
2021-12-24,585.3333333333334,572.0,664.0,552.0,-6.8116666666666665,-6.81,-6.81,-6.82,19.739,19.742,19.742,19.724
2021-12-25,576.0,576.0,576.0,576.0,-0.02,-0.02,-0.02,-0.02,31.964,31.964,31.964,31.964
2021-12-26,544.0,544.0,544.0,544.0,-0.78,-0.78,-0.78,-0.78,30.596,30.596,30.596,30.596
2021-12-27,548.0,548.0,568.0,528.0,-5.21,-5.21,-5.21,-5.21,22.622,22.622,22.622,22.622
2021-12-28,528.0,528.0,536.0,520.0,0.24,0.24,0.24,0.24,32.432,32.432,32.432,32.432
2021-12-29,500.0,500.0,504.0,496.0,2.85,2.85,2.85,2.85,37.13,37.13,37.13,37.13
2021-12-30,488.0,488.0,488.0,488.0,3.48,3.48,3.48,3.48,38.264,38.264,38.264,38.264
2021-12-31,451.0,440.0,536.0,408.0,6.299999999999999,6.3,6.3,6.3,43.34,43.34,43.34,43.34
2022-01-01,444.0,444.0,448.0,440.0,7.56,7.56,7.56,7.56,45.608,45.608,45.608,45.608
2022-01-02,448.0,448.0,448.0,448.0,6.31,6.31,6.31,6.31,43.358,43.358,43.358,43.358
2022-01-03,548.5714285714286,548.0,576.0,512.0,-8.251428571428573,-7.95,-7.95,-10.25,17.14742857142857,17.689999999999998,17.689999999999998,13.55
2022-01-04,602.1052631578947,608.0,704.0,480.0,-5.947894736842103,-1.49,-1.49,-13.59,21.293789473684207,29.318,29.318,7.538
2022-01-05,652.8,656.0,696.0,608.0,5.0713333333333335,10.79,10.79,-6.34,41.12840000000001,51.422,51.422,20.588
2022-01-06,677.0909090909091,680.0,736.0,624.0,0.28363636363636363,0.47,0.47,0.06,32.51054545454545,32.846,32.846,32.108
2022-01-07,740.0,728.0,776.0,728.0,-4.71,-4.71,-4.71,-4.71,23.522,23.522,23.522,23.522
2022-01-08,730.6666666666666,760.0,760.0,672.0,-12.753333333333332,-11.66,-11.66,-14.94,9.044,11.012,11.012,5.1080000000000005
2022-01-09,632.0,632.0,632.0,632.0,-6.59,-6.59,-6.59,-6.59,20.138,20.138,20.138,20.138
2022-01-10,565.7142857142857,576.0,584.0,528.0,-5.607142857142857,-5.47,-5.47,-5.95,21.907142857142855,22.154,22.154,21.29
2022-01-11,633.6666666666666,624.0,776.0,520.0,-20.084999999999997,-20.64,-18.42,-20.64,-4.153000000000002,-5.152000000000001,-1.156000000000006,-5.152000000000001
2022-01-13,542.3333333333334,532.0,672.0,472.0,1.54625,0.53,6.84,0.53,34.78325,32.954,44.312,32.954
2022-01-14,472.0,464.0,520.0,440.0,-1.2400000000000002,-1.24,-0.71,-1.77,29.768,29.768,30.722,28.814
2022-01-15,864.0,864.0,904.0,824.0,-24.47,-24.47,-24.47,-24.47,-12.046,-12.046,-12.046,-12.046
2022-01-16,812.0,812.0,968.0,656.0,-12.829999999999998,-12.829999999999998,-6.35,-19.31,8.906000000000002,8.906000000000002,20.57,-2.757999999999996
2022-01-17,530.6666666666666,536.0,576.0,480.0,-1.4699999999999998,-2.3,0.19,-2.3,29.354,27.86,32.342,27.86
2022-01-18,560.0,560.0,592.0,520.0,-8.261999999999999,-8.84,-7.27,-9.34,17.1284,16.088,18.914,15.188
2022-05-14,356.0,356.0,360.0,352.0,20.73,20.73,22.19,19.27,69.31400000000001,69.31400000000001,71.94200000000001,66.686
2022-05-15,348.0,348.0,352.0,344.0,19.96,19.96,19.96,19.96,67.928,67.928,67.928,67.928
2022-05-16,344.0,340.0,376.0,328.0,21.018125,20.34,22.93,19.3,69.83262500000001,68.61200000000001,73.274,66.74000000000001
2022-05-17,401.6,408.0,496.0,120.0,18.458000000000002,17.09,20.99,16.41,65.2244,62.762,69.782,61.538
2022-05-18,501.05263157894734,504.0,632.0,360.0,14.704210526315796,13.96,21.05,13.95,58.467578947368445,57.128,69.89,57.11
2022-05-19,546.24,536.0,680.0,408.0,15.108000000000006,14.81,19.54,13.72,59.19440000000002,58.658,67.172,56.696
2022-05-20,440.8888888888889,384.0,656.0,376.0,13.425555555555556,13.05,17.71,12.4,56.166,55.49,63.878,54.32
2022-05-21,373.3333333333333,376.0,376.0,368.0,16.39,16.85,16.85,15.47,61.50199999999999,62.33,62.33,59.846
2022-05-22,360.0,360.0,360.0,360.0,21.67,21.67,21.67,21.67,71.006,71.006,71.006,71.006
2022-05-23,352.0,352.0,360.0,344.0,19.042727272727276,16.93,21.93,16.93,66.2769090909091,62.474,71.474,62.474
2022-05-24,416.0,400.0,592.0,368.0,14.31529411764706,13.81,17.28,13.81,57.767529411764684,56.858,63.104,56.858
2022-05-25,544.7272727272727,532.0,680.0,448.0,14.436818181818184,14.34,20.11,11.56,57.98627272727274,57.812,68.19800000000001,52.808
2022-05-26,634.5,632.0,720.0,560.0,15.030625,14.5,21.28,12.13,59.055125000000004,58.1,70.304,53.834
